name,url,remote_support,adaptive_support,duration,test_type
Pharmaceutical Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-chemistry-new/,Yes,No,17,"K,Remote,Testing"
Pharmaceutical Science (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-science-new/,Yes,No,7,"K,Remote,Testing"
Pharmaceutics (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutics-new/,Yes,No,12,"K,Remote,Testing"
Pharmacology (New),https://www.shl.com/solutions/products/product-catalog/view/pharmacology-new/,Yes,No,12,"K,Remote,Testing"
PHP (New),https://www.shl.com/solutions/products/product-catalog/view/php-new/,Yes,No,8,"K,Remote,Testing"
PJM Development Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-development-report/,Yes,No,N/A,"C,A,P,Remote,Testing"
PJM Selection Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-selection-report/,Yes,No,N/A,"A,C,P,Remote,Testing"
Polymer Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/polymer-engineering-new/,Yes,No,8,"K,Remote,Testing"
Power Electronics and Drives (New),https://www.shl.com/solutions/products/product-catalog/view/power-electronics-and-drives-new/,Yes,No,15,"K,Remote,Testing"
Power System Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/power-system-engineering-new/,Yes,No,12,"K,Remote,Testing"
Prism (New),https://www.shl.com/solutions/products/product-catalog/view/prism-new/,Yes,No,4,"K,Remote,Testing"
Production and Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-and-industrial-engineering-new/,Yes,No,13,"K,Remote,Testing"
