name,url,remote_support,adaptive_support,duration,test_type
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Yes,Yes,15,"K,Remote,Testing"
iOS Development (New),https://www.shl.com/solutions/products/product-catalog/view/ios-development-new/,Yes,No,7,"K,Remote,Testing"
ITIL (IT Infrastructure Library) (New),https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,Yes,No,8,"K,Remote,Testing"
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Yes,Yes,30,"K,Remote,Testing"
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,Yes,No,18,"K,Remote,Testing"
Java Design Patterns (New),https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/,Yes,No,5,"K,Remote,Testing"
Java Frameworks (New),https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/,Yes,No,17,"K,Remote,Testing"
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Yes,Yes,30,"K,Remote,Testing"
Java Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/,Yes,No,8,"K,Remote,Testing"
JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,Yes,No,9,"K,Remote,Testing"
Jenkins (New),https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,Yes,No,6,"K,Remote,Testing"
Job Control Language (New),https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,Yes,No,10,"K,Remote,Testing"
