name,url,remote_support,adaptive_support,duration,test_type
Struts (New),https://www.shl.com/solutions/products/product-catalog/view/struts-new/,Yes,No,5,"K,Remote,Testing"
SVAR - Spoken English (AUS),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-aus/,Yes,No,N/A,"S,Remote,Testing"
SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,Yes,No,N/A,"S,Remote,Testing"
SVAR - Spoken English (U.K.),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-u-k/,Yes,No,N/A,"S,Remote,Testing"
SVAR - Spoken English (US)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-us-new/,Yes,No,N/A,"S,Remote,Testing"
SVAR - Spoken French (Canadian) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-canadian-new/,Yes,No,N/A,"S,Remote,Testing"
SVAR - Spoken French (European) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-european-new/,Yes,No,N/A,"S,Remote,Testing"
SVAR - Spoken Spanish (Castilian) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-castilian-new/,Yes,No,N/A,"S,Remote,Testing"
SVAR - Spoken Spanish (North American) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-north-american-new/,Yes,No,N/A,"S,Remote,Testing"
Swing (New),https://www.shl.com/solutions/products/product-catalog/view/swing-new/,Yes,No,4,"K,Remote,Testing"
Tableau (New),https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,Yes,No,8,"K,Remote,Testing"
Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/telecommunications-engineering-new/,Yes,No,7,"K,Remote,Testing"
