name,url,remote_support,adaptive_support,duration,test_type
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,Yes,No,16,"P,Remote,Testing"
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/essential-focus-8-0/,Yes,No,16,"P,Remote,Testing"
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-focus-8-0/,Yes,No,31,"A,P,Remote,Testing"
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/vigilance-focus-8-0/,Yes,No,34,"A,P,Remote,Testing"
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,Yes,No,9,"K,Remote,Testing"
Maven (New),https://www.shl.com/solutions/products/product-catalog/view/maven-new/,Yes,No,7,"K,Remote,Testing"
Mechanical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechanical-engineering-new/,Yes,No,7,"K,Remote,Testing"
Mechatronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechatronics-engineering-new/,Yes,No,19,"K,Remote,Testing"
Medical Terminology (New),https://www.shl.com/solutions/products/product-catalog/view/medical-terminology-new/,Yes,No,3,"K,Remote,Testing"
Metallurgical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/metallurgical-engineering-new/,Yes,No,10,"K,Remote,Testing"
MFS 360 Enterprise Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,Yes,No,N/A,"D,Remote,Testing"
MFS 360 UCF Group Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,Yes,No,N/A,"D,Remote,Testing"
