name,url,remote_support,adaptive_support,duration,test_type
Microsoft Word 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/,Yes,No,35,"S,K,Remote,Testing"
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,Yes,No,12,"K,Remote,Testing"
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,Yes,No,16,"K,Remote,Testing"
Mobility (New),https://www.shl.com/solutions/products/product-catalog/view/mobility-new/,Yes,No,9,"K,Remote,Testing"
Molecular Biology (New),https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/,Yes,No,6,"K,Remote,Testing"
MongoDB (New),https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/,Yes,No,7,"K,Remote,Testing"
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,N/A,"P,Remote,Testing"
MQ Candidate Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/,Yes,No,N/A,"P,Remote,Testing"
MQ Employee Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/,Yes,No,N/A,"P,Remote,Testing"
MQ Motivation Report Pack,https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/,Yes,No,N/A,"P,Remote,Testing"
MQ Profile,https://www.shl.com/solutions/products/product-catalog/view/mq-profile/,Yes,No,N/A,"P,Remote,Testing"
MS Access (New),https://www.shl.com/solutions/products/product-catalog/view/ms-access-new/,Yes,No,7,"K,Remote,Testing"
